file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,co2_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--
15790_RAW_20Hz_2024-11-15-0030.csv,2024-11-15,00:30,320.0208,0,36000,36000,-0.961019E-01,1,0.142171,2,6.40793,1,2.73934,1,0.143456,1,-9999,-9999,-9999,-9999,0.249825E-09,0.370446E-11,17.5696,412.184,414.719,0.00000,1,260.527,6.11197,6.14956,0.00000,1,283.589,282.143,99988.7,1.23178,1008.60,0.234601E-01,0.929593E-02,0.469469E-02,611.292,1144.15,0.381130E-02,53.4277,532.856,273.157,-3.07908,-3.41265,-0.191224,4.60038,0.719472E-13,0.142191E-13,4.60038,8.13654,44.3207,227.942,-2.38230,-9999,0.279318,1.11358,-13359.0,-0.623776E-02,0.221867E-01,-0.409691E-03,0,427.807,-64.9214,146.852,365.683,557.690,782.168,1171.83,-0.961019E-01,1.00000,0.517691,1.00000,6.36404,1.00000,2.67307,1.00000,0.142473,1.00000,800000099,800000099,800000099,800000099,800000099,800111099,899999999,899999999,89999,89999,89,89,4,40,16,165,57,42,1.68567,0.401610,0.139882,0.384762E-02,0.898003E-02,25.5099,0.416693E-03,0.267307E-02,0.142473,777.769
15790_RAW_20Hz_2024-11-15-0100.csv,2024-11-15,01:00,320.0416,0,36000,36000,-0.463330E-01,1,1.57795,0,1.75389,0,0.240221,2,0.392615E-01,0,-6.01323,-4.54093,-3.11295,-0.101650,-0.310484E-09,-0.458623E-11,17.5161,410.870,413.379,0.00000,1,258.734,6.06905,6.10611,0.00000,1,283.493,282.056,99971.9,1.23198,1008.58,0.234567E-01,0.254415E-02,0.466238E-02,606.898,1137.44,0.378448E-02,53.3566,530.538,273.057,-3.08500,-3.39971,-0.198400,4.59506,0.800501E-13,-0.177257E-13,4.59506,7.82891,44.5775,227.778,-2.47462,-9999,0.193930,0.785073,-402.781,-0.206886,0.899684,-0.654842E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.463330E-01,1.00000,1.68067,1.00000,1.69121,1.00000,0.145222,1.00000,0.378583E-01,1.00000,800000099,800000099,800000099,800000099,800000099,800010199,899999999,899999999,89999,89999,89,89,17,42,22,249,44,86,1.17115,0.284427,0.114573,0.196975E-02,0.285009E-02,6.38797,0.135261E-02,0.145222E-03,0.378583E-01,775.358
15790_RAW_20Hz_2024-11-15-0130.csv,2024-11-15,01:30,320.0624,0,36000,36000,0.155943,0,-4.43569,2,4.71701,1,2.65268,1,0.105579,1,-8.55759,-4.15398,0.521908,-0.929773E-01,0.714977E-09,0.104872E-10,17.5326,411.090,413.584,0.00000,1,257.166,6.02981,6.06639,0.00000,1,283.352,281.932,99968.7,1.23250,1008.56,0.234472E-01,0.684155E-02,0.463413E-02,602.955,1127.95,0.375995E-02,53.4559,524.992,272.968,-2.20074,-3.38591,-0.117449,4.03998,0.160873E-12,0.407798E-13,4.03998,7.18102,35.4829,236.977,-1.66592,-9999,0.355705,0.777989,884.150,0.942487E-01,-0.940361,0.100320E-01,0,461.020,-69.9616,158.253,394.073,600.986,842.892,1262.81,0.155943,1.00000,-4.15951,1.00000,4.83399,1.00000,2.83118,1.00000,0.108198,1.00000,800000099,800000099,800000099,800000099,800010099,800010199,899999999,899999999,89999,89999,89,89,35,6,2,131,22,80,0.867556,0.500247,0.188176,0.464081E-02,0.181636E-02,3.36111,-0.334623E-02,0.283118E-02,0.108198,776.029
15790_RAW_20Hz_2024-11-15-0200.csv,2024-11-15,02:00,320.0833,0,36000,36000,0.220642,0,6.23684,2,13.8189,1,7.74417,1,0.309226,1,-18.5996,-14.9874,1.94799,-0.335372,-0.748328E-09,-0.106976E-10,17.5838,411.912,414.352,0.00000,1,251.366,5.88840,5.92328,0.00000,1,283.108,281.663,99965.2,1.23370,1008.47,0.234256E-01,0.200378E-01,0.452961E-02,588.793,1107.58,0.367158E-02,53.1602,518.789,272.641,-1.85550,-4.02412,0.622042E-01,4.43174,0.207031E-13,-0.425578E-13,4.43174,6.68882,28.1166,245.246,0.804234,-9999,0.422902,0.540968,-1056.69,-0.788592E-01,0.451325,-0.118536E-01,0,530.993,-80.5802,182.273,453.885,692.203,970.824,1454.47,0.220642,1.00000,7.04488,1.00000,13.5376,1.00000,7.30383,1.00000,0.302931,1.00000,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,59,12,2,99,27,53,0.605998,0.289109,0.186828,0.570347E-02,0.252756E-02,6.79092,0.566241E-02,0.730383E-02,0.302931,778.193
15790_RAW_20Hz_2024-11-15-0230.csv,2024-11-15,02:30,320.1041,0,36000,36000,-0.389945E-01,1,-0.812525,2,-9.47058,2,0.384417E-01,2,-0.211903,2,-6.73852,-29.7002,-2.60843,-0.664538,0.561983E-09,0.767199E-11,17.5413,410.812,413.129,0.00000,1,239.468,5.60826,5.63989,0.00000,1,282.949,281.566,99955.9,1.23414,1008.32,0.234197E-01,-0.137313E-01,0.431521E-02,560.729,1100.28,0.349653E-02,50.9622,539.556,271.974,-2.65767,-3.45312,-0.220328,4.36301,-0.826702E-13,0.320377E-13,4.36301,7.37205,39.8590,232.417,-2.89461,-9999,0.177754,0.700916,602.235,0.138368,0.857946E-01,0.367329E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.389945E-01,1.00000,-1.36600,1.00000,-9.39264,1.00000,0.166188,1.00000,-0.210159,1.00000,800000099,800000099,800000099,800001099,800000099,800010099,899999999,899999999,89999,89999,89,89,3,10,6,181,3,4,0.912070,0.320328,0.169435,0.223971E-02,0.139989E-02,25.8246,-0.109771E-02,0.166188E-03,-0.210159,776.253
15790_RAW_20Hz_2024-11-15-0300.csv,2024-11-15,03:00,320.1249,0,36000,36000,-0.391838E-01,1,0.546625,0,2.98549,0,1.03087,1,0.667990E-01,0,-0.999473,-26.7913,-0.617826,-0.599444,0.140625E-09,0.183442E-11,17.5290,410.552,412.762,0.00000,1,228.662,5.35555,5.38438,0.00000,1,282.885,281.551,99944.2,1.23418,1008.18,0.234212E-01,0.432857E-02,0.412049E-02,535.399,1099.21,0.333865E-02,48.7078,563.807,271.345,-2.65864,-3.20335,-0.210147,4.16821,0.862658E-13,0.802240E-14,4.16821,6.65979,42.0810,230.309,-2.88988,-9999,0.178182,0.532663,-901.559,-0.924287E-01,0.183094,-0.246552E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.391838E-01,1.00000,0.721062,1.00000,2.95355,1.00000,0.976086,1.00000,0.660844E-01,1.00000,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,3,26,6,120,17,35,0.718268,0.231808,0.115250,0.320337E-02,0.205512E-02,11.4955,0.579505E-03,0.976086E-03,0.660844E-01,775.691
15790_RAW_20Hz_2024-11-15-0330.csv,2024-11-15,03:30,320.1458,0,36000,36000,-0.554096E-01,1,1.80072,1,3.50502,0,0.441892,2,0.784143E-01,0,-8.21832,-4.22624,2.20194,-0.945494E-01,-0.447992E-09,-0.578739E-11,17.5733,411.480,413.679,0.00000,1,227.020,5.31570,5.34410,0.00000,1,282.771,281.432,99928.3,1.23452,1008.16,0.234151E-01,0.508125E-02,0.409090E-02,531.331,1090.37,0.331376E-02,48.7292,559.043,271.242,-2.69572,-2.99736,-0.137664,4.03361,0.134784E-13,-0.254928E-13,4.03361,6.20411,44.4667,228.033,-1.95584,-9999,0.211857,0.555306,-459.959,-0.181168,0.513756,-0.682933E-02,0,421.614,-63.9816,144.727,360.390,549.617,770.846,1154.87,-0.554096E-01,1.00000,2.00540,1.00000,3.43421,1.00000,0.319276,1.00000,0.768303E-01,1.00000,800000099,800000099,800000099,800001099,800010099,801010099,899999999,899999999,89999,89999,89,89,30,39,14,167,35,25,0.832682,0.194470,0.834605E-01,0.178667E-02,0.237317E-02,7.15786,0.161130E-02,0.319276E-03,0.768303E-01,777.599
15790_RAW_20Hz_2024-11-15-0400.csv,2024-11-15,04:00,320.1666,0,35997,35997,-0.709774E-01,0,-6.01744,1,8.22388,1,0.826616,0,0.183984,1,-0.317353,-5.37100,5.31639,-0.120159,0.677877E-09,0.862673E-11,17.6681,413.721,415.910,0.00000,1,224.846,5.26505,5.29292,0.00000,1,282.749,281.428,99921.5,1.23448,1008.13,0.234163E-01,0.119222E-01,0.405172E-02,526.233,1090.03,0.328213E-02,48.2768,563.801,271.111,-2.16885,-2.51425,-0.106549,3.32216,-0.196874E-12,0.383673E-13,3.32216,5.46968,42.3933,229.218,-1.83792,-9999,0.239783,0.489167,199.551,0.417587,-0.731703,0.201648E-01,0,527.280,-80.0167,180.998,450.711,687.362,964.035,1444.30,-0.709774E-01,1.00000,-5.53715,1.00000,8.35325,1.00000,1.05404,1.00000,0.186878,1.00000,800000099,800000099,800000099,800000099,800000099,800010099,899999999,899999999,89999,89999,89,89,46,10,16,38,3,3,0.572419,0.344791,0.611247E-01,0.509521E-02,0.217310E-02,9.23070,-0.444924E-02,0.105404E-02,0.186878,781.785
15790_RAW_20Hz_2024-11-15-0430.csv,2024-11-15,04:30,320.1874,0,36000,36000,-0.880117E-02,1,1.08840,0,-0.646433,2,0.480501E-01,2,-0.144603E-01,2,-8.01750,-3.25181,1.96346,-0.727412E-01,-0.108911E-09,-0.137519E-11,17.7109,414.548,416.729,0.00000,1,223.632,5.23440,5.26195,0.00000,1,282.632,281.312,99922.8,1.23502,1008.11,0.234063E-01,-0.937030E-03,0.402985E-02,523.176,1081.48,0.326298E-02,48.3758,558.307,271.032,-2.05550,-2.10600,-0.135289,2.94595,0.528080E-13,-0.614936E-14,2.94595,4.74791,46.9922,225.695,-2.63216,-9999,0.844177E-01,0.318969,-48.1423,-1.73091,-1.68370,-0.103555E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.880117E-02,1.00000,1.05066,1.00000,-0.674115,1.00000,-0.991725E-03,1.00000,-0.150796E-01,1.00000,800000099,800000099,800000099,800000099,800010099,800010099,899999999,899999999,89999,89999,89,89,17,31,21,89,19,19,0.336126,0.258368,0.434432E-01,0.203008E-02,0.274835E-02,5.02146,0.843878E-03,-0.991725E-06,-0.150796E-01,783.629
